Abbr	Ab	Fake Book Title (Publisher)
50Cntry	C5	Fifty Years of (Country) Hits (-NA-)
54Stan	54	Real Chord Changes For 54 Standards (Hal Leonard)
Beatles	BT	The Beatles Fake Book (Hal Leonard)
Berlin	IB	Irving Berlin Fake Book (Hal Leonard)
BestEver	BE	The Best Fake Book Ever (Hal Leonard)
Blues	BL	The Blues Fake Book (Hal Leonard)
Celtic	CL	Celtic Fake Book (Hal Leonard)
Chicago	CH	Chicago Fake Book (Hal Leonard)
ClassicRock	CR	Classic Rock Fake Book (Hal Leonard)
Disney	DS	Disney Fake Book (Hal Leonard)
EarlyJazz	EJ	Jazz Bible: Ragtime & Early Jazz 1900-1935 (Hal Leonard)
EarlyRock	ER	Early Rock 'N' Roll Era Fake Book (Hal Leonard)
Elvis	EL	Elvis Fake Book (Hal Leonard)
Fantastic	MF	Most Fantastic Fakebook In The World (Warner)
Favorite	MF	Fake Book of the World's Favorite Songs (Hal Leonard)
FirstTime	FT	First Time Ever Fake Book (Dover)
Folksong	FS	Folksong Fake Book (Hal Leonard)
Gershwin	JG	Just Gershwin Real Book (Warner)
Gospel	GG	Gospel's Greatest (Hal Leonard)
Hymn	HY	Hymn Fakebook (Hal Leonard)
Jazz50s	J5	Jazz Bible: Jazz of the 50s (Hal Leonard)
Jazz60s	J6	Jazz Bible: Jazz of the 60s (Hal Leonard)
JazzStand	JS	Hal Leonard Real Jazz Standards Fake Book (Hal Leonard)
Jumbo	JU	1001 Jumbo Song Book (-NA-)
JustJazz	JJ	Just Jazz Real Book (Warner)
JustStanR	SR	Just Standards Real Book (Warner)
Legit	RW	Richard Wolfe's Legit Professional Fake Book (-NA-)
Movie	MV	The Movie Fake Book (Hal Leonard)
PerfComp	PC	Performer's Complete Fake Book
PianistF	PP	Professional Pianist's Fake Book (Hal Leonard)
PianistX	PX	Professional Pianist's Christmas Fake Book
R&B	RB	R&B Fake Book (Hal Leonard)
RealBook1	R1	The New Real Book, V1 (Sher)
RealBook2	R2	The New Real Book, V2 (Sher)
RealBook3	R3	The New Real Book, V3 (Sher)
RealJazz	RJ	Hal Leonard Real Jazz Fake Book (Hal Leonard)
Sinatra	SN	Frank Sinatra Fake Book (Hal Leonard)
SingerCty	SC	Professional Singer's Country Fake Book (Hal Leonard)
SingerPop	SP	Professional Singer's PopRock Fake Book - Men (Hal Leonard)
StandReal	R0	Standards Real Book (Sher)
SwingEra	SE	Jazz Bible: Swing Era 1936-1947 (Hal Leonard)
TV	TV	TV Fake Book (Hal Leonard)
UltBrdwy	UB	Ultimate Broadway Fake Book (Hal Leonard)
UltCnty	UC	Ultimate Country Fake Book (Hal Leonard)
UltFake	UF	Ultimate Fake Book (Hal Leonard)
UltJazz	UJ	Ultimate Jazz Fake Book (Hal Leonard)
UltPopRock	UP	Ultimate Pop / Rock Fake Book (Hal Leonard)
UltXmas	UX	Ultimate Christmas Fake Book (Hal Leonard)
Wedding	WL	Wedding & Love Fake Book (Hal Leonard)
WorldsGr	GF	World's Greatest Fake Book (Sher)
