
Fake Books & Real Books indexed
50S	The 50s(HL.240240)
666FSB	The 666 fake song book
AJFB	The Amazing jazz fake book(IF0489)
BFB	The Blues Fake Book(HL.240082)
BFBE	The Best Fake Book Ever(HL.240083)
BRFB	The Big red fake book-giant hits of the 50's, 60's and 70's(F1069FBX)
BS	Broadway Songs (HL.240157)
CFB2	Classical Fake Book - 2nd Ed(HL.240044)
CFB	The Celtic Fake Book(HL.240153)
CRFB	Classic Rock Fake Book - 2nd Ed(HL.240108)
CT200	Columbia's top 200 of 1987-88 fake book for all keyboards 200 great songs(F2896FBX)
DFB	The Disney Fake Book(HL.240039)
EGFB	The Easy Gospel Fake Book(HL.240169)
EREFB	Early Rock'N'Roll Era Fake Book(HL.240167)
FFB	The Folksong Fake Book(HL.240151)
GRGFB	The Greatest Rock Guitar Fake Book(HL.240148
HFB	The Hymn Fake Book(HL.240145)
HLRJFB	The Hal Leonard Real Jazz Fake Book(HL.240097)
HLRJSFB	The Hal Leonard Real Jazz Standards Fake Book(HL.240173)
JCRRB	Just Classic Rock Real Book(WB.FBM0005)
JFB	The Jewish Fake Book(HL.330350)
JJRB	Just Jazz Real Book(WB.FBM0003BF)
JSRB	Just Standards Real Book(FBM0002)
LRB	The Latin Real Book(HL.240138)
MACU	The most amazing colossal ultimate selection(HL00240024)
MDRB	Miles Davis Real Book(HL.240137)
MFB	The Movie Fake Book(HL.240033)
MFFB	The most fantastic fakebook in the world - Warner Bros
MH	Motown Hits(HL.240125)
NRB	The New Real Book(SR.NRB1C)
NRBV2	The new real book. v2(Sher Music Co)
NRBV3	The New real book V3(Sher Music Co)
PCFB	The Performer's Complete Fake Book(HL.240058)
PPFB	The Professional pianist's fake book(HL00290084)
PSPRFB	Professional singer's pop rock fake book Hal Leonard HL00240091
RB	The Real Book(HL.240224)
RJSFB	Real Jazz Standards Fake Book(HL.240172)
RLBFB	The Real Little Best Fake Book Ever(HL.240017)
RLUBFB4	The Real Little Ultimate Broadway Fake Book-4th Edition(HL.240111)
RLUFB3	The Real Little Ultimate Fake Book-3rd Edition(HL.240027)
RLUJFB	The Real Little Ultimate Jazz Fake Book(HL.240018)
RWLPFB	Richard Wolfe's legit professional fake book
SRB	The Standards Real Book(SR.SRBC)
UBFB	The Ultimate Broadway Fake Book 4th ed Hal Leonard. (HL.240046)
UCFB	The Ultimate Country Fake Book 4th Ed - Hal Leonard (HL.240049)
UFB3	The Ultimate Fake Book 3rd - Hal Leonard HL.240024
UJFB	The Ultimate Jazz Fake Book - Hal Leonard (HL.240079)
WLFB	Wedding & Love Fake Book - Hal Leonard HL.240041
YFFB	Your First Fake Book - Hal Leonard HL.240112
