I Left My Heart In San Francisco (Bb)*,11
Moonlight Serenade (F),11
Georgia (F)*,12
Misty (Eb)*,12
As Time Goes By (Eb)*,13
Tenderly (Eb)*,13
My Funny Valentine (Cm)*,14
Summertime (Am)*,14
Embraceable You (F)*,15
Unforgettable (F)*,15
Stardust (C)*,16
Polka Dots & Moonbeams (F)*,17
September Song (C)*,17
Everytime We Say Goodbye (Eb)*,18
We'll Be Together Again (C)*,18
I'm In The Mood for Love (C)*,19
Very Thought Of You (Ab)*,19
Here's That Rainy Day (F)*,20
I Remember You (G)*,20
My One and Only Love (C)*,21
Nearness of You (The) (F)*,21
Body and Soul (Db)*,22
What's New (C)*,22
But Beautiful (G)*,23
Scotch and Soda (Eb)*,23
What Are You Doing the Rest of Your Life (Am)*,24
I Only Have Eyes For You (C)*,25
That's All (Bb)*,25
Moonlight in Vermont (Eb)*,26
My Ship (F)*,26
Once In Awhile (Eb)*,27
Over the Rainbow (Eb)*,27
Laura (C)*,28
What A Difference A Day Makes (F)*,28
Darn That Dream (G),29
Skylark (Eb)*,29
I Can't Get Started (C)*,30
These Foolish Things (Eb)*,30
April in Paris (C)*,31
Till There Was You (Eb)*,31
Come Sunday (Bb),32
More Than You Know (C)*,32
Don't Blame Me (C)*,33
You Go To My Head (C)*,33
In A Sentimental Mood (F),34
When Sunny Gets Blue (F)*,34
God Bless the Child (Eb)*,35
Good Morning Heartache (F)*,35
My Foolish Heart (Bb)*,36
Someone To Watch Over Me (Eb)*,36
Easy Living (F)*,37
Imagination (Eb)*,37
Early Autumn (C),38
I'm Getting Sentimental (F)*,38
Mona Lisa (F)*,39
Smoke Gets In Your Eyes (Eb)*,39
Willow Weep For Me (G)*,40
For Sentimental Reasons (F)*,41
Isn't It Romantic (Eb)*,41
Chances Are (G)*,42
Sophisticated Lady (Ab),42
Don't Go to Strangers (Bb)*,43
Twilight Time (G)*,43
I Got It Bad (G)*,44
Mood Indigo (Ab)*,44
Prelude to a Kiss (C)*,45
Stella By Starlight (Bb)*,45
How Long Has The Been Going On (G)*,46
In My Solitude (Eb)*,46
I Fall in Love Too Easily (Eb)*,47
Things We Did Last Summer (G)*,47
All Of You (Eb)*,48
In the Still of the Night (F)*,48
Angel Eyes (Cm)*,49
I Wish You Love (F)*,49
I Concentrate on You (Eb)*,50
Old Folks (Eb)*,51
Poor Butterfly (Ab)*,51
Flamingo (F)*,52
Nightingale Sang in Barkley Square (Eb)*,52
Lover Man (Dm)*,53
My Old Flame (G)*,53
Blue Velvet (Bb)*,54
I Should Care (C)*,54
Spring Can Really Hang You (C)*,55
Some Other Time (C)*,56
You Don't Know What Love Is (Fm)*,56
Autumn In New York (F)*,57
For All We Know (F)*,58
Where or When (Eb)*,58
East of the Sun (G)*,59
Spring Is Here (Ab)*,59
Easy Street (Eb)*,60
When You Wish Upon A Star (C)*,60
Deep Purple (F)*,61
Second Time Around (C)*,61
Moon Over Miami (G)*,62
Old Cape Cod (F)*,62
Fools Rush In (C)*,63
I Will Wait For You (Dm)*,63
Dream (C)*,64
It Might As Well Be Spring (G)*,64
Goodnight Sweetheart (C)*,65
Party's Over (Eb)*,65
One For My Baby (Eb)*,66
One More For the Road (Eb)*,66
Midnight Sun (C)*,67
My Melancholy Baby (Eb),68
Penthouse Serenade (C)*,68
Blue Gardenia (G)*,69
You've Changed (Eb)*,69
Blue Hawaii (Bb)*,70
Harbor Lights (Eb)*,70
Red Sails In The Sunset (G)*,71
What Kind of Fool Am I (C)*,71
All My Tomorrows (Eb)*,72
How Deep Is the Ocean (F)*,72
Bewitched (C)*,73
Who Can I Turn To (Eb)*,73
All the Way (F)*,74
I Cover the Waterfront (G)*,74
Everything Happens to Me (Bb)*,75
Summer Place (Bb)*,75
Ill Wind (Bb)*,76
Last Night When We Were (G)*,76
People (C)*,77
Time On My Hands (F)*,77
I'm Glad There Is You (F)*,78
Thanks for the Memory (F)*,78
For You For Me Forevermore (F)*,79
I've Grown Accustomed to Her Face (Eb)*,79
Ghost of a Chance (C)*,80
Guess I'll Hang My Tears Out (C)*,80
Nevertheless (Bb)*,81
Two For The Road (C)*,81
Try A Little Tenderness (Eb)*,82
Violets For Your Furs (F)*,82
This Is All I Ask (F)*,83
Masquerade is Over (Eb)*,84
Smile (F)*,85
They Say It's Wonderful (F)*,85
End of a Love Affair (F)*,86
Warm Valley (Eb),86
September in the Rain (Eb)*,87
Sunday Kind of Love (F)*,87
Cry Me A River (Cm)*,88
Portrait of Jenny (F)*,88
Pieces of Dreams (F)*,89
Heather on the Hill (F)*,90
My Own True Love (Tara) (F)*,90
If Ever I Would Leave You (Bb)*,91
Nancy With the Laughing (F)*,92
Night We Called It A Day (G)*,92
It Never Entered My Mind (F)*,93
In the Wee Small Hours (C)*,94
Love Story (Gm),95
What I Did For Love (C)*,95
All I Ask of You (Db)*,96
Memory (C)*,97
Time For Love (Bb)*,98
Twelfth of Never (D),98
Way We Were (A)*,99
