'Round Midnight,"T Monk, C Williams & B Hanighen",Standards Real Book,369
'Round Midnight,"Monk, Williams & Hanighen",Digital Standards Songbook,228
'S Wonderful,George & Ira Gershwin,Standards Real Book,371
'S Wonderful,George & Ira Gershwin,Digital Standards Songbook,230
111-44,Oliver Nelson,World's Greatest Fakebook,271
1983,Eddie Palmieri,Latin Real Book,357
"2 Degrees East, 3 Degrees West",John Lewis,All-Jazz Real Book,1
"2 Down, 1 Across",Kenny Garrett,All-Jazz Real Book,2
26-2,John Coltrane,New Real Book: Vol. 2,398
34 Skidoo,Bill Evans,New Real Book: Vol. 3,385
4 AM,Herbie Hancock,World's Greatest Fakebook,121
500 Miles High,Chick Corea & Neville Potter,New Real Book: Vol. 2,104
910 Columbus,Gregor Hžbner,European Real Book,1
A Cor Do Por-Do-Sol,Ivan Lins & Celso Viafora,All-Jazz Real Book,4
A Day In The Life Of A Fool,Luiz Bonfa,Latin Real Easy Book,20
A Fonte Secou,"Monsueto Menezes, Tufic Lauar & Marcleo",Latin Real Book,1
A Mi Que,Jesus Guerra,Latin Real Book,3
A Nivel De,Joao Bosco,Latin Real Book,5
Acrobata,Ricardo Peixoto,Latin Real Easy Book,114
Actual Proof,Herbie Hancock,New Real Book: Vol. 3,1
Adoracion,Eddie Palmieri & Ishmael Quintana,All-Jazz Real Book,6
"Aerie, The",Peggy Stern,New Real Book: Vol. 3,3
Affirmation,Jose Feliciano,New Real Book: Vol. 1,1
Affirmation,Jose Feliciano,New Real Book: Vol. 1 - Digital Edition,1
Affreusement Votre,Frank Amsellem,European Real Book,3
Afro Blue,Mongo Santamaria,Latin Real Book,7
Afro Blue,Mongo Santamaria,Real Easy Book: Vol. 2,1
Afro-Centric,Joe Henderson,New Real Book: Vol. 2,1
After The Love Has Gone,"David Foster, Jay Graydon & Bill Champlin",World's Greatest Fakebook,1
After The Rain,John Coltrane,New Real Book: Vol. 2,3
After You,Cole Porter,Standards Real Book,1
After You,Cole Porter,Digital Standards Songbook,1
After You've Gone,Creamer & Layton,New Real Book: Vol. 2,5
Afternoon In Paris,John Lewis,All-Jazz Real Book,11
Again,Lionel Newman & Dorcas Cochran,Standards Real Book,3
Agua de Beber,Antonio Carlos Jobim,Latin Real Easy Book,2
Agua De Beber (Water To Drink),"Antonio Carlos Jobim, Norman Gimbel & Vinicius de Moraes",Standards Real Book,5
Aguardiente De Cana,Miguel Barcasnegras,Latin Real Book,9
Aileron,John Scofield,World's Greatest Fakebook,3
Ain't Misbehavin',"Fats Waller, Harry Brooks & Andy Razaf",New Real Book: Vol. 2,6
Ain't Misbehavin',Waller & Razaf,Digital Standards Songbook,3
Ain't No Sunshine,Bill Withers,Standards Real Book,7
Ain't That Peculiar,Eddie Holland & Norman Whitfield,New Real Book: Vol. 3,5
Airegin,Sonny Rollins,New Real Book: Vol. 1,2
Airegin,Sonny Rollins,New Real Book: Vol. 1 - Digital Edition,2
Aisha,McCoy Tyner,World's Greatest Fakebook,4
Aja's Theme,Torrie Zito,New Real Book: Vol. 3,10
Alborada,Jan L. Hartong,European Real Book,5
Alexander's Ragtime Band,Irving Berlin,Real Easy Book: Vol. 3,3
Alice In Wonderland,Sammy Fain & Bob Hilliard,Standards Real Book,9
Alice In Wonderland,Sammy Fain & Bob Hilliard,Real Easy Book: Vol. 2,3
All About Ronnie,Joe Green,Standards Real Book,11
All Across The City,Jim Hall,World's Greatest Fakebook,5
All By Myself,Anna-Lena Laurin,European Real Book,7
All Is Quiet,Bob Mintzer & Kurt Elling,All-Jazz Real Book,12
All My Tomorrows,Sammy Cahn & James Van Heusen,Standards Real Book,13
All Of Me,Seymore Simons & Gerald Marks,New Real Book: Vol. 1,3
All Of Me,Seymore Simons & Gerald Marks,New Real Book: Vol. 1 - Digital Edition,3
All Of You,Cole Porter,Standards Real Book,15
All of You,Cole Porter,Digital Standards Songbook,5
All Of You (Bill Evans),Cole Porter,Standards Real Book,17
All Or Nothing At All,Arthur Altman & Jack Lawrence,New Real Book: Vol. 1,429
All Or Nothing At All,Arthur Altman & Jack Lawrence,New Real Book: Vol. 1 - Digital Edition,429
All The Things You Are,"Jerome Kern, Oscar Hammerstein II",New Real Book: Vol. 1,4
All The Things You Are,"Jerome Kern, Oscar Hammerstein II",New Real Book: Vol. 1 - Digital Edition,4
All The Way,Sammy Cahn & James Van Heusen,Standards Real Book,19
All Through The Night,Cole Porter,Standards Real Book,21
All Through the Night,Cole Porter,Digital Standards Songbook,7
Almendra,Abelardo Valdes,Latin Real Book,13
Almost Like Being In Love,Alan Jay Lerner & Frederick Lowe,New Real Book: Vol. 3,12
Alone Together,Howard Dietz & Arthur Schwartz,Standards Real Book,23
Alone Together,Dietz & Schwartz,Digital Standards Songbook,9
Along Came Betty,Benny Golson,New Real Book: Vol. 2,7
Along Came Betty,Benny Golson,Best of Sher Music Co.,1
Alonzo,Lonnie Hewitt,Latin Real Book,17
Always There,Ronnie Laws & William Jeffrey,New Real Book: Vol. 1,5
Always There,Ronnie Laws & William Jeffrey,New Real Book: Vol. 1 - Digital Edition,5
Am I Blue?,Grant Clarke & Harry Akst,Standards Real Book,25
Amanda,Duke Pearson,All-Jazz Real Book,14
Amantes,Rafael Perez Botija,Latin Real Book,19
Amazing You,Karel Boehlee,European Real Book,11
Amazonia,Ana Caram,Latin Real Book,27
Ambleside,John Taylor,European Real Book,13
American Gothic,Bob Berg,New Real Book: Vol. 3,13
Amor,Ivan Lins & Vitor Martins,Latin Real Book,31
