A Fonte Secou                        ,Latin Real Book.pdf,20
A MI Que .                           ,Latin Real Book.pdf,22
A Nivel De                           ,Latin Real Book.pdf,24
Afro Blue                            ,Latin Real Book.pdf,26
Aguardiente de Calla                 ,Latin Real Book.pdf,28
Almendra                             ,Latin Real Book.pdf,32
Alonzo                               ,Latin Real Book.pdf,36
Amantes                              ,Latin Real Book.pdf,38
Amazonia                             ,Latin Real Book.pdf,46
Amor                                 ,Latin Real Book.pdf,50
Amor Artificial                      ,Latin Real Book.pdf,52
Anatelio (The Happy People)          ,Latin Real Book.pdf,60
Angoa                                ,Latin Real Book.pdf,62
Aparecida                            ,Latin Real Book.pdf,66
Aquarela Do Brasil (a.k.a. Brazil)   ,Latin Real Book.pdf,68
Aqui  Oh!                            ,Latin Real Book.pdf,70
Arallue                              ,Latin Real Book.pdf,72
Armando's Rumba                      ,Latin Real Book.pdf,80
Atras De Nos                         ,Latin Real Book.pdf,82
Bacchanal                            ,Latin Real Book.pdf,84
Baia (a.k.a. Bahia)                  ,Latin Real Book.pdf,86
Bailando Asi                         ,Latin Real Book.pdf,88
Basta De Clamares Inocencia          ,Latin Real Book.pdf,94
Bemba Colord                         ,Latin Real Book.pdf,96
Besame                               ,Latin Real Book.pdf,100
Besame Mucho                         ,Latin Real Book.pdf,102
Bilongo                              ,Latin Real Book.pdf,104
Bomba de Corazon                     ,Latin Real Book.pdf,108
Brasileiro                           ,Latin Real Book.pdf,112
Bruca Manigua                        ,Latin Real Book.pdf,116
Building Bridges                     ,Latin Real Book.pdf,118
Cachita                              ,Latin Real Book.pdf,120
CamaleOn                             ,Latin Real Book.pdf,122
Camilla y Prende El Fogon            ,Latin Real Book.pdf,126
Capullito de Aleli                   ,Latin Real Book.pdf,130
Cascade Of The Seven Waterfalls      ,Latin Real Book.pdf,132
Cha-cha-cha (a.k.a. Calzada de Cerro),Latin Real Book.pdf,134
Changuiri                            ,Latin Real Book.pdf,136
Claudia                              ,Latin Real Book.pdf,146
Club Morocco                         ,Latin Real Book.pdf,148
Coisa Feita                          ,Latin Real Book.pdf,150
Come With Me                         ,Latin Real Book.pdf,152
Compadre Pedro Juan                  ,Latin Real Book.pdf,154
Contigo En La Distancia              ,Latin Real Book.pdf,156
Cubanita                             ,Latin Real Book.pdf,158
Curacao                           ,Latin Real Book.pdf,162
Dame Un Cachito Pa' Huele       ,Latin Real Book.pdf,164
Danz& For My Father             ,Latin Real Book.pdf,166
Decision                        ,Latin Real Book.pdf,170
Dejala Que Baile Sola           ,Latin Real Book.pdf,172
Dejala Que Siga Andando         ,Latin Real Book.pdf,180
Dejame Sonar                    ,Latin Real Book.pdf,184
Dile a Catalina kIrakere        ,Latin Real Book.pdf,188
Dime Til Que Lo Sabes           ,Latin Real Book.pdf,192
Dom De Iludir                   ,Latin Real Book.pdf,200
Don Quixote                     ,Latin Real Book.pdf,202
E'                              ,Latin Real Book.pdf,204
Eastern Joy Dance               ,Latin Real Book.pdf,206
Echale Salsita                  ,Latin Real Book.pdf,208
El Agua Del Clavelito           ,Latin Real Book.pdf,210
El Cantar del Coqui             ,Latin Real Book.pdf,212
El Manisero ,Latin Real Book.pdf,217
Elena Elena                    ,Latin Real Book.pdf,220
Encantigo                       ,Latin Real Book.pdf,224
Entregate                       ,Latin Real Book.pdf,228
Estoy Como Nunca                ,Latin Real Book.pdf,234
Flight To Jordan                ,Latin Real Book.pdf,242
Flor De Lis (a.k.a. Upside Down),Latin Real Book.pdf,244
FrenesI                         ,Latin Real Book.pdf,246
Frevo                           ,Latin Real Book.pdf,248
Guarare                         ,Latin Real Book.pdf,250
Hannibal's Revenge              ,Latin Real Book.pdf,258
Indestructible                  ,Latin Real Book.pdf,260
Indiferencia                    ,Latin Real Book.pdf,264
Jogral                          ,Latin Real Book.pdf,268
Juan Pachanga                   ,Latin Real Book.pdf,272
Kalinda                         ,Latin Real Book.pdf,276
