AFFIRMATION             ,The New Real Book Eb I.pdf,8
AIREGN                  ,The New Real Book Eb I.pdf,9
ALL OF ME               ,The New Real Book Eb I.pdf,10
ALWAYS THERE            ,The New Real Book Eb I.pdf,11
ANA MARIA               ,The New Real Book Eb I.pdf,13
ANGEL EYES              ,The New Real Book Eb I.pdf,15
ANTHROPOLOGY            ,The New Real Book Eb I.pdf,17
AUTUMN LEAVES           ,The New Real Book Eb I.pdf,18
BABY  I LOVE YOU        ,The New Real Book Eb I.pdf,19
BASIN STREET BLUES      ,The New Real Book Eb I.pdf,21
BEAUTIFUL LOVE          ,The New Real Book Eb I.pdf,22
BERNIE'S TUNE           ,The New Real Book Eb I.pdf,23
BIRD FOOD               ,The New Real Book Eb I.pdf,24
BLACK ICE               ,The New Real Book Eb I.pdf,25
BLACK NARCISSUS         ,The New Real Book Eb I.pdf,27
BLIZZARD OF LIES        ,The New Real Book Eb I.pdf,28
BLUE BOSSA              ,The New Real Book Eb I.pdf,30
BLUE DANIEL             ,The New Real Book Eb I.pdf,31
BLUES CONNOTATION       ,The New Real Book Eb I.pdf,32
BLUES ON THE CORNER     ,The New Real Book Eb I.pdf,33
BOOGIE DOWN             ,The New Real Book Eb I.pdf,34
BOTH SIDES OF THE COIN  ,The New Real Book Eb I.pdf,37
BOUNCING WITH BUD       ,The New Real Book Eb I.pdf,39
BREAKFAST WINE          ,The New Real Book Eb I.pdf,41
BREAKIN' AWAY          ,The New Real Book Eb I.pdf,43
BUT BEAUTIFUL           ,The New Real Book Eb I.pdf,45
CHAIN OF FOOLS          ,The New Real Book Eb I.pdf,46
CHANGE OF MIND          ,The New Real Book Eb I.pdf,48
CHEGA DE SAUDADE        ,The New Real Book Eb I.pdf,50
CHELSEA BRIDGE          ,The New Real Book Eb I.pdf,52
COME SUNDAY             ,The New Real Book Eb I.pdf,53
COMPARED TO WHAT        ,The New Real Book Eb I.pdf,54
CREEK                   ,The New Real Book Eb I.pdf,56
CRYSTAL LOVE            ,The New Real Book Eb I.pdf,57
CUBANO CHANT            ,The New Real Book Eb I.pdf,59
DARN THAT DREAM         ,The New Real Book Eb I.pdf,61
DELEVANS               ,The New Real Book Eb I.pdf,62
DESAFINADO              ,The New Real Book Eb I.pdf,64
DESIRE                  ,The New Real Book Eb I.pdf,66
DIG                     ,The New Real Book Eb I.pdf,67
DINDI                   ,The New Real Book Eb I.pdf,68
DON'T GO TO STRANGERS   ,The New Real Book Eb I.pdf,70
DOORS                   ,The New Real Book Eb I.pdf,71
EARLY AUTUMN            ,The New Real Book Eb I.pdf,72
EASY                    ,The New Real Book Eb I.pdf,73
EIGHTY ONE              ,The New Real Book Eb I.pdf,75
ELM                     ,The New Real Book Eb I.pdf,76
ENDANGERED SPECIES      ,The New Real Book Eb I.pdf,78
E.S.P.                  ,The New Real Book Eb I.pdf,80
EVERYTHING HAPPENS TO ME,The New Real Book Eb I.pdf,81
FALL                    ,The New Real Book Eb I.pdf,83
FARMERS MARKET          ,The New Real Book Eb I.pdf,84
FAVELA                  ,The New Real Book Eb I.pdf,85
FEEL LIKE MAKIN' LOVE   ,The New Real Book Eb I.pdf,86
FIRE                    ,The New Real Book Eb I.pdf,87
FIRST LIGHT                    ,The New Real Book Eb I.pdf,88
FOOLKILLER                     ,The New Real Book Eb I.pdf,89
FOOTPRINTS                     ,The New Real Book Eb I.pdf,90
FOUR                           ,The New Real Book Eb I.pdf,91
FOUR BROTHERS                  ,The New Real Book Eb I.pdf,93
FOUR ON SIX                    ,The New Real Book Eb I.pdf,94
FRIENDS AND STRANGERS          ,The New Real Book Eb I.pdf,95
FUNKALLERO                     ,The New Real Book Eb I.pdf,97
GAVIOTA                        ,The New Real Book Eb I.pdf,98
GEE BABY  AIN'T I GOOD TO YOU  ,The New Real Book Eb I.pdf,100
GEMINI                         ,The New Real Book Eb I.pdf,101
GLORIA'S STEP                  ,The New Real Book Eb I.pdf,103
GOIN' HOME                     ,The New Real Book Eb I.pdf,104
GONE WITH THE WIND             ,The New Real Book Eb I.pdf,106
THE GOODBYE LOOK               ,The New Real Book Eb I.pdf,107
GUARLTJA                       ,The New Real Book Eb I.pdf,111
HALLUCINATIONS                 ,The New Real Book Eb I.pdf,113
HAUNTED BALLROOM               ,The New Real Book Eb I.pdf,115
HAVONA                         ,The New Real Book Eb I.pdf,116
HERE'S THAT RAINY DAY          ,The New Real Book Eb I.pdf,117
HIDEAWAY                       ,The New Real Book Eb I.pdf,118
I LOVE LUCY                    ,The New Real Book Eb I.pdf,119
I MEAN YOU                     ,The New Real Book Eb I.pdf,120
I SHOULD CARE                  ,The New Real Book Eb I.pdf,122
I THOUGHT ABOUT YOU            ,The New Real Book Eb I.pdf,123
IF I VVERE A BELL              ,The New Real Book Eb I.pdf,124
IF YOU NEVER COME TO ME        ,The New Real Book Eb I.pdf,126
I'LL TAKE ROMANCE              ,The New Real Book Eb I.pdf,127
I'M ALL SMILES                  ,The New Real Book Eb I.pdf,129
IMAGINATION                    ,The New Real Book Eb I.pdf,131
