A Mess Of Blues,The Real Book of Blues.pdf,4
Afro Blue,The Real Book of Blues.pdf,5
After You've Gone,The Real Book of Blues.pdf,8
All Or Nothing At All,The Real Book of Blues.pdf,6
As Long As I Have You,The Real Book of Blues.pdf,9
As Time Goes By,The Real Book of Blues.pdf,10
Autumn Leaves (Les Feuilles Mortes),The Real Book of Blues.pdf,11
Baby Doll,The Real Book of Blues.pdf,12
Baby What You Want Me To Do?,The Real Book of Blues.pdf,26
Back Door Man,The Real Book of Blues.pdf,14
Backwater Blues,The Real Book of Blues.pdf,17
Behind Closed Doors,The Real Book of Blues.pdf,22
Big Spender,The Real Book of Blues.pdf,18
Black Coffee,The Real Book of Blues.pdf,20
Blue Haze,The Real Book of Blues.pdf,23
Blue Monk,The Real Book of Blues.pdf,25
Blue Train Blues Cricket Agent Take Your Window Down),The Real Book of Blues.pdf,26
Blues (From 'An American In Paris'),The Real Book of Blues.pdf,28
Blues Ain't Nothing,The Real Book of Blues.pdf,29
Blues And Booze,The Real Book of Blues.pdf,30
Blues Around My Bed,The Real Book of Blues.pdf,31
Blues My Naughty Sweetie Gives To Me,The Real Book of Blues.pdf,34
Blues Stay Away From Me,The Real Book of Blues.pdf,36
Bluesette,The Real Book of Blues.pdf,37
Body And Soul,The Real Book of Blues.pdf,40
Born To Lose,The Real Book of Blues.pdf,41
Bright Lights  Big City,The Real Book of Blues.pdf,44
Bring It With You When You Come,The Real Book of Blues.pdf,42
Broken Hearted Blues,The Real Book of Blues.pdf,45
Brother  Can You Spare A Dime,The Real Book of Blues.pdf,48
Buddy Bolden's Blues,The Real Book of Blues.pdf,46
Built For Comfort,The Real Book of Blues.pdf,49
Can't Help Lovin' Dat Man,The Real Book of Blues.pdf,50
Can't Stop Lovin',The Real Book of Blues.pdf,51
Canal Street Blues,The Real Book of Blues.pdf,52
Careless Love,The Real Book of Blues.pdf,53
Chelsea Bridge,The Real Book of Blues.pdf,54
Come Back Baby,The Real Book of Blues.pdf,55
Come Sunday,The Real Book of Blues.pdf,56
Corrine Corrina,The Real Book of Blues.pdf,58
Cotton Tail,The Real Book of Blues.pdf,60
Cottonfields,The Real Book of Blues.pdf,59
Crazy Man Blues,The Real Book of Blues.pdf,62
Crossroads Blues,The Real Book of Blues.pdf,63
Cry Your Blues Away,The Real Book of Blues.pdf,64
Dark And Dreary,The Real Book of Blues.pdf,65
De Kalb Blues,The Real Book of Blues.pdf,66
Deep River,The Real Book of Blues.pdf,67
Don't Fish In My Sea,The Real Book of Blues.pdf,68
Don't Go To Strangers,The Real Book of Blues.pdf,69
Don't Sell It (Don't Give It Away),The Real Book of Blues.pdf,74
Down By The Riverside,The Real Book of Blues.pdf,70
Down The Road A Piece,The Real Book of Blues.pdf,72
Duet,The Real Book of Blues.pdf,75
Dust My Broom,The Real Book of Blues.pdf,76
Dust Pneumonia Blues,The Real Book of Blues.pdf,77
Early Autumn,The Real Book of Blues.pdf,78
Evil (Is Goin' On),The Real Book of Blues.pdf,79
Feel So Bad,The Real Book of Blues.pdf,80
Fever,The Real Book of Blues.pdf,82
Fine And Mellow (My Man Don't Love Me),The Real Book of Blues.pdf,84
Five Long Years,The Real Book of Blues.pdf,88
Folsom Prison Blues,The Real Book of Blues.pdf,86
Frankie And Johnny,The Real Book of Blues.pdf,89
From Four Until Late,The Real Book of Blues.pdf,90
Georgia On My Mind,The Real Book of Blues.pdf,92
Go Back To Your No Good Man,The Real Book of Blues.pdf,91
Going Down Slow,The Real Book of Blues.pdf,94
Good Morning Blues,The Real Book of Blues.pdf,95
Good Morning Heartache,The Real Book of Blues.pdf,96
Goodbye Baby,The Real Book of Blues.pdf,98
Green River Blues,The Real Book of Blues.pdf,99
Hear Me Talkin' To Ya,The Real Book of Blues.pdf,100
Here's That Rainy Day,The Real Book of Blues.pdf,102
Hey Hey Pretty Mama,The Real Book of Blues.pdf,103
Hoochie Coochie Man,The Real Book of Blues.pdf,104
How Do You Want It Done?,The Real Book of Blues.pdf,108
How Insensitive,The Real Book of Blues.pdf,106
I Ain't Got Nobody (And There's Nobody Cares For Me),The Real Book of Blues.pdf,110
I Can't Stop Loving You,The Real Book of Blues.pdf,209
I Just Want To Make Love To You,The Real Book of Blues.pdf,114
I Remember Clifford,The Real Book of Blues.pdf,112
I Wanna Be Around,The Real Book of Blues.pdf,115
I Wish I Knew How It Would Feel To Be Free,The Real Book of Blues.pdf,116
I'll Be Seeing You,The Real Book of Blues.pdf,117
I'm A King Bee,The Real Book of Blues.pdf,118
I'm So Glad,The Real Book of Blues.pdf,119
If I Had You,The Real Book of Blues.pdf,120
In A Sentimental Mood,The Real Book of Blues.pdf,222
In The Heat Of The Night,The Real Book of Blues.pdf,123
It Could Happen To You,The Real Book of Blues.pdf,126
It Makes My Love Come Down,The Real Book of Blues.pdf,124
It's Only A Paper Moon,The Real Book of Blues.pdf,227
jailhouse Blues,The Real Book of Blues.pdf,128
Kindhearted Woman Blues,The Real Book of Blues.pdf,129
Lazy River,The Real Book of Blues.pdf,130
Lazybones,The Real Book of Blues.pdf,131
Lean Baby,The Real Book of Blues.pdf,134
Learnin' The Blues,The Real Book of Blues.pdf,132
Lemon Drop,The Real Book of Blues.pdf,135
Li'l Darlin',The Real Book of Blues.pdf,136
Life Is Like That,The Real Book of Blues.pdf,138
Limehouse Blues,The Real Book of Blues.pdf,139
Little David Play On Your Harp,The Real Book of Blues.pdf,140
Little Queen Of Spades,The Real Book of Blues.pdf,141
Little Red Rooster,The Real Book of Blues.pdf,142
Long Gone Lonesome Blues,The Real Book of Blues.pdf,143
Love In Vain,The Real Book of Blues.pdf,144
Love Is Blue (L'Amour Est Bleu),The Real Book of Blues.pdf,145
Lover Man (Oh Where Can You Be),The Real Book of Blues.pdf,147
Low Down Blues,The Real Book of Blues.pdf,150
Lush Life,The Real Book of Blues.pdf,148
Mad About Him  Sad Without Him  How Can I Be Glad Without Him Blues,The Real Book of Blues.pdf,152
Make Me A Pallet On Your Floor,The Real Book of Blues.pdf,151
Matchbox Blues,The Real Book of Blues.pdf,154
Mean And Evil,The Real Book of Blues.pdf,155
Mean Old Bed Bug Blues,The Real Book of Blues.pdf,156
Mean To Me,The Real Book of Blues.pdf,157
Mean Woman Blues,The Real Book of Blues.pdf,158
Meditation (Meditacao),The Real Book of Blues.pdf,160
Memphis Blues,The Real Book of Blues.pdf,162
Midnight Sun,The Real Book of Blues.pdf,164
Million Years Blues (a.k.a. When My Heart Beats Like A Hammer),The Real Book of Blues.pdf,159
Mind Your Own Business,The Real Book of Blues.pdf,166
Misty,The Real Book of Blues.pdf,167
Moonglow,The Real Book of Blues.pdf,168
Moonlight Becomes You,The Real Book of Blues.pdf,169
More Than You Know,The Real Book of Blues.pdf,170
My Babe,The Real Book of Blues.pdf,172
My Baby Left Me,The Real Book of Blues.pdf,173
My Creole Belle,The Real Book of Blues.pdf,176
My Handy Man Ain't Handy No More,The Real Book of Blues.pdf,174
Mystery Train,The Real Book of Blues.pdf,177
New York Town,The Real Book of Blues.pdf,178
Nightmare,The Real Book of Blues.pdf,179
No Matter How She Done It,The Real Book of Blues.pdf,182
No More Blues (Chega De Saudade),The Real Book of Blues.pdf,180
No More Lovers,The Real Book of Blues.pdf,183
No Smoking,The Real Book of Blues.pdf,184
Nobody Knows The Trouble I've Seen,The Real Book of Blues.pdf,188
Nobody Knows You When You're Down And Out,The Real Book of Blues.pdf,186
01' Man River,The Real Book of Blues.pdf,192
One For My Baby (And One More For The Road),The Real Book of Blues.pdf,189
One More River,The Real Book of Blues.pdf,194
Pickpocket Blues,The Real Book of Blues.pdf,196
Please Warm My Wiener,The Real Book of Blues.pdf,195
Police Dog Blues,The Real Book of Blues.pdf,200
Prelude To A Kiss,The Real Book of Blues.pdf,198
Quiet Nights Of Quiet Stars (Corcovado),The Real Book of Blues.pdf,202
Ramblin' On My Mind,The Real Book of Blues.pdf,201
Recado Bossa Nova (The Gift),The Real Book of Blues.pdf,204
Richlands Woman Blues,The Real Book of Blues.pdf,206
Roberta,The Real Book of Blues.pdf,208
Rockin' Chair,The Real Book of Blues.pdf,209
Salty Dog,The Real Book of Blues.pdf,212
San Francisco Bay Blues,The Real Book of Blues.pdf,210
See See Rider,The Real Book of Blues.pdf,213
Serenade In Blue,The Real Book of Blues.pdf,214
Seven Eleven,The Real Book of Blues.pdf,216
Seventh Son (Original Version),The Real Book of Blues.pdf,219
Seventh Son (Version 2),The Real Book of Blues.pdf,220
Shake That Thing,The Real Book of Blues.pdf,221
Shake Your Money Maker,The Real Book of Blues.pdf,222
She Ain't Nothing But Trouble,The Real Book of Blues.pdf,223
Silver City Bound,The Real Book of Blues.pdf,226
Singing The Blues,The Real Book of Blues.pdf,224
Smoke Gets In Your Eyes,The Real Book of Blues.pdf,227
So Blue,The Real Book of Blues.pdf,228
Solitude,The Real Book of Blues.pdf,229
Someday,The Real Book of Blues.pdf,230
Someone To Watch Over Me,The Real Book of Blues.pdf,231
Sometimes I Feel Like A Motherless Child,The Real Book of Blues.pdf,232
Sorrowful Blues,The Real Book of Blues.pdf,233
Spoonful,The Real Book of Blues.pdf,234
Sporting Life Blues,The Real Book of Blues.pdf,235
Squeeze Me,The Real Book of Blues.pdf,236
St. James Infirmary,The Real Book of Blues.pdf,238
St. Louis Blues,The Real Book of Blues.pdf,239
Stars Fell On Alabama,The Real Book of Blues.pdf,242
Stella By Starlight,The Real Book of Blues.pdf,243
Sugar Blues,The Real Book of Blues.pdf,244
Summertime Blues,The Real Book of Blues.pdf,246
Sunny,The Real Book of Blues.pdf,248
Swingin' Shepherd Blues,The Real Book of Blues.pdf,250
Take These Chains From My Heart,The Real Book of Blues.pdf,251
Tenor Madness,The Real Book of Blues.pdf,252
Texas Blues,The Real Book of Blues.pdf,253
That Ole Devil Called Love,The Real Book of Blues.pdf,254
That's Why I'm Lonesome,The Real Book of Blues.pdf,256
The Birth Of The Blues,The Real Book of Blues.pdf,257
The Blues Never Die,The Real Book of Blues.pdf,260
The Breeze (That's Bringing My Honey Back To Me),The Real Book of Blues.pdf,258
The First Time I Met The Blues,The Real Book of Blues.pdf,261
The Lady Sings The Blues,The Real Book of Blues.pdf,262
The Lonesome Road,The Real Book of Blues.pdf,266
The Nearness Of You,The Real Book of Blues.pdf,264
The Night We Called It A Day,The Real Book of Blues.pdf,267
The Old Piano Roll Blues,The Real Book of Blues.pdf,268
The Very Thought Of You,The Real Book of Blues.pdf,269
The Woman I Love,The Real Book of Blues.pdf,270
These Foolish Things,The Real Book of Blues.pdf,272
Three Hours Past Midnight,The Real Book of Blues.pdf,271
Time On My Hands,The Real Book of Blues.pdf,274
Trane's Blues,The Real Book of Blues.pdf,275
Travelling Riverside Blues,The Real Book of Blues.pdf,276
Trouble In Mind,The Real Book of Blues.pdf,277
Tuxedo Junction,The Real Book of Blues.pdf,278
Unforgettable,The Real Book of Blues.pdf,279
Walk Right In,The Real Book of Blues.pdf,280
Walkin' Blues,The Real Book of Blues.pdf,282
Walkin' Shoes,The Real Book of Blues.pdf,281
Walking My Troubles Away,The Real Book of Blues.pdf,283
Way Down In The Mine,The Real Book of Blues.pdf,284
Weary Blues,The Real Book of Blues.pdf,286
Weeping Willow Blues,The Real Book of Blues.pdf,288
When Sunny Gets Blue,The Real Book of Blues.pdf,290
When The Lights Go Out,The Real Book of Blues.pdf,289
When You Got A Good Friend,The Real Book of Blues.pdf,292
When Your Lover Has Gone,The Real Book of Blues.pdf,293
Wild About That Thing,The Real Book of Blues.pdf,294
Willow Weep For Me,The Real Book of Blues.pdf,296
Worried Man Blues,The Real Book of Blues.pdf,298
You Can't Judge A Book By Its Cover,The Real Book of Blues.pdf,300
You'll Like My Loving,The Real Book of Blues.pdf,299
Your Cheatin' Heart,The Real Book of Blues.pdf,302
